Serial Number,Receipt Number,Date,Register Name,Draft Name,Occupants,Total Product Count,Product Name,Product Category,Product Notes,Product Quantity,Product Price,Product Tax,Product Zero Tax,Product Discount,Product Coupon Code,Product Total,Subtotal Price,Tax,Zero Tax,Bulk Discount,Bulk Coupon Code,Discount,Roundoff,Packaging Small,Tea Kettle,Small Packaging,Packaging large,Packaging medium,Total Price,Cash Refund,Card Refund,Other Refund,Payment Status,Fulfillment Status,Cancellation Status,Delivery Date,Tags,Channel Name,Brand Name,Channel Id,,Customer Name,Shipping Address,Customer Tags,Redemption CRM,Redemption Type
SA6487,SA-Q2I-2007-6488,"Nov 12, 2021 16:55",,,,,Bun Maska,Maska Bun,,1,40,0,0,0,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6487,SA-Q2I-2007-6488,"Nov 12, 2021 16:55",,,,,Masala Chai,Chai,,2,70,0,0,0,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6484,SA-Q2I-2007-6489,"Nov 12, 2021 17:08",Main Register,Table 3,,3,Red Sauce / Arrabiata Penne Pasta,Pasta,,1,150,0,0,0,,150,395,0,,0,,0,0,,,,,,395,0,0,0,paid,fulfilled,,,,,,,,Prakriti,,,,
SA6484,SA-Q2I-2007-6489,"Nov 12, 2021 17:08",,,,,White Sauce / Alfredo Penne Pasta,Pasta,,1,150,0,0,0,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6484,SA-Q2I-2007-6489,"Nov 12, 2021 17:08",,,,,Jalapeno Veggie Wrap,Wraps,,1,95,0,0,0,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6486,SA-Q2I-2007-6490,"Nov 12, 2021 17:10",Main Register,Table 6,,2,Adrak Chai,Chai,,2,50,0,0,0,,50,170,0,,0,,0,0,,,,,,170,0,0,0,paid,fulfilled,,,,,,,,,,,,
SA6486,SA-Q2I-2007-6490,"Nov 12, 2021 17:10",,,,,Bun Maska,Maska Bun,,3,120,0,0,0,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6488,SA-Q2I-2007-6491,"Nov 12, 2021 17:32",Main Register,Table 5,,4,Red Sauce / Arrabiata Penne Pasta,Pasta,,1,150,0,0,0,,150,590,0,,0,,0,0,,,,,,590,0,0,0,paid,fulfilled,,,,,,,,Shefali,,,,
SA6488,SA-Q2I-2007-6491,"Nov 12, 2021 17:32",,,,,White Sauce / Alfredo Penne Pasta,Pasta,,1,150,0,0,0,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6488,SA-Q2I-2007-6491,"Nov 12, 2021 17:32",,,,,Cold Coffee - Regular,Coffee,,2,190,0,0,0,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6488,SA-Q2I-2007-6491,"Nov 12, 2021 17:32",,,,,Classic Hot Coffee,Coffee,,2,100,0,0,0,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6490,SA-Q2I-2007-6492,"Nov 12, 2021 18:22",Main Register,Table 2,,1,Adrak Chai,Chai,,2,50,0,0,0,,50,50,0,,0,,0,0,,,,,,50,0,0,0,paid,fulfilled,,,,,,,,,,,,
SA6489,SA-Q2I-2007-6493,"Nov 12, 2021 18:44",Main Register,Table 5,,2,Veg Maggi,Maggi Maggi Maggi,,1,65,0,0,0,,65,110,0,,0,,0,0,,,,,,110,0,0,0,paid,fulfilled,,,,,,,,Nihal,,,,
SA6489,SA-Q2I-2007-6493,"Nov 12, 2021 18:44",,,,,Laung Elaichi Chai,Chai,,1,45,0,0,0,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6491,SA-Q2I-2007-6494,"Nov 12, 2021 18:50",Main Register,Take-Away-1,,1,Water (500 ml),Unchai,,1,15,0,0,0,,15,15,0,,0,,0,0,,,,,,15,0,0,0,paid,fulfilled,,,,,,,,,,,,
SA6493,SA-Q2I-2007-6495,"Nov 12, 2021 19:28",Main Register,Table 4,,1,Adrak Chai,Chai,,2,50,0,0,0,,50,50,0,,0,,0,0,,,,,,50,0,0,0,paid,fulfilled,,,,,,,,,,,,
SA6492,SA-Q2I-2007-6496,"Nov 12, 2021 19:29",Main Register,Table 2,,2,Tandoori Veggie Wrap,Wraps,,1,95,0,0,0,,95,230,0,,0,,0,0,,,,,,230,0,0,0,paid,fulfilled,,,,,,,,,,,,
SA6492,SA-Q2I-2007-6496,"Nov 12, 2021 19:29",,,,,Paneer Salsa Wrap,Wraps,,1,135,0,0,0,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6495,SA-Q2I-2007-6497,"Nov 12, 2021 19:32",Main Register,Table 5,,4,Adrak Elaichi Chai,Chai,,2,80,0,0,0,,80,305,0,,0,,0,0,,,,,,305,0,0,0,paid,fulfilled,,,,,,,,Sachin,,,,
SA6495,SA-Q2I-2007-6497,"Nov 12, 2021 19:32",,,,,Classic Hot Coffee,Coffee,,1,50,0,0,0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6495,SA-Q2I-2007-6497,"Nov 12, 2021 19:32",,,,,Tandoori Veggie Wrap,Wraps,,1,95,0,0,0,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6495,SA-Q2I-2007-6497,"Nov 12, 2021 19:32",,,,,Classic Veg Burger,Burgers,,1,80,0,0,0,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6497,SA-Q2I-2007-6498,"Nov 12, 2021 19:42",Main Register,Table 4,,2,Veg Cheese Burger,Burgers,,1,95,0,0,0,,95,160,0,,0,,0,0,,,,,,160,0,0,0,paid,fulfilled,,,,,,,,Bharat,,,,
SA6497,SA-Q2I-2007-6498,"Nov 12, 2021 19:42",,,,,Veg Maggi,Maggi Maggi Maggi,,1,65,0,0,0,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6496,SA-Q2I-2007-6499,"Nov 12, 2021 19:46",Main Register,Table 3,,5,French Fries,Fries & Nachos,,1,90,0,0,0,,90,300,0,,34.96,,34.96,-0.04,,,,,,265,0,0,0,paid,fulfilled,,,,,,,,Rishabh,,,Bingage,Wallet
SA6496,SA-Q2I-2007-6499,"Nov 12, 2021 19:46",,,,,Vada Pav,Vada Pav,,1,65,0,0,0,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6496,SA-Q2I-2007-6499,"Nov 12, 2021 19:46",,,,,Tandoori Veggie Wrap,Wraps,,1,95,0,0,0,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6496,SA-Q2I-2007-6499,"Nov 12, 2021 19:46",,,,,Cold Drink - Thumbs Up,Unchai,,1,35,0,0,0,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6496,SA-Q2I-2007-6499,"Nov 12, 2021 19:46",,,,,Water (500 ml),Unchai,,1,15,0,0,0,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6494,SA-Q2I-2007-6500,"Nov 12, 2021 19:55",Main Register,Table 2,,1,Paneer Salsa Wrap,Wraps,,1,135,0,0,0,,135,135,0,,0,,0,0,,,,,,135,0,0,0,paid,fulfilled,,,,,,,,,,,,
SA6498,SA-Q2I-2007-6501,"Nov 12, 2021 20:27",Main Register,Table 4,,2,Adrak Chai,Chai,,2,50,0,0,0,,50,200,0,,0,,0,0,,,,,,200,0,0,0,paid,fulfilled,,,,,,,,Abhishek,,,,
SA6498,SA-Q2I-2007-6501,"Nov 12, 2021 20:27",,,,,Red Sauce / Arrabiata Penne Pasta,Pasta,,1,150,0,0,0,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6499,SA-Q2I-2007-6502,"Nov 12, 2021 20:57",Main Register,Table 5,,1,Wrap + Chai / Adrak Elaichi Chai / Jalapeno Veggie Wrap,Everyday Combos,,1,129,0,0,0,,129,129,0,,0,,0,0,,,,,,129,0,0,0,paid,fulfilled,,,,,,,,Aparna,,,,
SA6500,SA-Q2I-2007-6503,"Nov 13, 2021 10:56",Main Register,Table 5,,1,Classic Margherita Pizza,Pizza,,1,99,0,0,0,,99,99,0,,0,,0,0,,,,,,99,0,0,0,paid,fulfilled,,,,,,,,Anurag,,,,
SA6502,SA-Q2I-2007-6504,"Nov 13, 2021 11:47",Main Register,Table 4,,2,Onion + Capsicum Pizza,Pizza,,1,119,0,0,0,,119,189,0,,0,,0,0,,,,,,189,0,0,0,paid,fulfilled,,,,,,,,,,,,
SA6502,SA-Q2I-2007-6504,"Nov 13, 2021 11:47",,,,,Cold Drink - Thumbs Up,Unchai,,2,70,0,0,0,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6501,SA-Q2I-2007-6505,"Nov 13, 2021 11:48",Main Register,Table 2,,2,Veg Maggi,Maggi Maggi Maggi,,1,65,0,0,0,,65,115,0,,0,,0,0,,,,,,115,0,0,0,paid,fulfilled,,,,,,,,Vaibhav,,,,
SA6501,SA-Q2I-2007-6505,"Nov 13, 2021 11:48",,,,,Adrak Chai,Chai,,2,50,0,0,0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6503,SA-Q2I-2007-6506,"Nov 13, 2021 12:24",Main Register,Table 5,,3,Veg Tandoori Momos,Momos,,1,90,0,0,0,,90,265,0,,0,,0,0,,,,,,265,0,0,0,paid,fulfilled,,,,,,,,Ashi,,,,
SA6503,SA-Q2I-2007-6506,"Nov 13, 2021 12:24",,,,,Veg Corn Cheese Sandwich,Grilled Sandwiches,,1,130,0,0,0,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6503,SA-Q2I-2007-6506,"Nov 13, 2021 12:24",,,,,Masala Cold Drink,Unchai,,1,45,0,0,0,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6504,SA-Q2I-2007-6507,"Nov 13, 2021 12:54",Main Register,Table 6,,1,Virgin Mojito,Iced Tea / Mocktails / Coolers,,1,95,0,0,0,,95,95,0,,0,,0,0,,,,,,95,0,0,0,paid,fulfilled,,,,,,,,priyam,,,,
SA6507,SA-Q2I-2007-6508,"Nov 13, 2021 13:14",Main Register,Table 2,,5,Veg Corn Cheese Sandwich,Grilled Sandwiches,,1,130,0,0,0,,130,565,0,,0,,0,0,,,,,,565,0,0,0,paid,fulfilled,,,,,,,,,,,,
SA6507,SA-Q2I-2007-6508,"Nov 13, 2021 13:14",,,,,Cold Drink - Thumbs Up,Unchai,,1,35,0,0,0,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6507,SA-Q2I-2007-6508,"Nov 13, 2021 13:14",,,,,Oreo Shake,Shakes,,1,120,0,0,0,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6507,SA-Q2I-2007-6508,"Nov 13, 2021 13:14",,,,,Kit Kat Shake,Shakes,,1,130,0,0,0,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6507,SA-Q2I-2007-6508,"Nov 13, 2021 13:14",,,,,Red Sauce / Arrabiata Penne Pasta,Pasta,,1,150,0,0,0,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6505,SA-Q2I-2007-6509,"Nov 13, 2021 13:18",Main Register,Table 4,,4,Adrak Chai,Chai,,1,25,0,0,0,,25,309,0,,0,,0,0,,,,,,309,0,0,0,paid,fulfilled,,,,,,,,Satyam,,,,
SA6505,SA-Q2I-2007-6509,"Nov 13, 2021 13:18",,,,,Elaichi Chai,Chai,,1,30,0,0,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6505,SA-Q2I-2007-6509,"Nov 13, 2021 13:18",,,,,Fresh Veggie Pizza,Pizza,,1,159,0,0,0,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6505,SA-Q2I-2007-6509,"Nov 13, 2021 13:18",,,,,Tandoori Veggie Wrap,Wraps,,1,95,0,0,0,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6506,SA-Q2I-2007-6510,"Nov 13, 2021 13:38",Main Register,Table 6,,1,Adrak Elaichi Chai,Chai,,2,80,0,0,0,,80,80,0,,0,,0,0,,,,,,80,0,0,0,paid,fulfilled,,,,,,,,Sarthak,,,,
SA6509,SA-Q2I-2007-6511,"Nov 13, 2021 13:49",Main Register,Table 5,,4,Veg Cheese Burger,Burgers,,1,95,0,0,0,,95,445,0,,0,,0,0,,,,,,445,0,0,0,paid,fulfilled,,,,,,,,rahul,,,,
SA6509,SA-Q2I-2007-6511,"Nov 13, 2021 13:49",,,,,Virgin Mojito,Iced Tea / Mocktails / Coolers,,2,190,0,0,0,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6509,SA-Q2I-2007-6511,"Nov 13, 2021 13:49",,,,,Veg Cheese Maggi,Maggi Maggi Maggi,,1,90,0,0,0,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6509,SA-Q2I-2007-6511,"Nov 13, 2021 13:49",,,,,Cold Drink - Thumbs Up,Unchai,,2,70,0,0,0,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6508,SA-Q2I-2007-6512,"Nov 13, 2021 13:50",Main Register,Table 3,,1,French Fries,Fries & Nachos,,1,90,0,0,0,,90,90,0,,0,,0,0,,,,,,90,0,0,0,paid,fulfilled,,,,,,,,,,,,
SA6514,SA-Q2I-2007-6513,"Nov 13, 2021 14:12",Main Register,Table 4,,7,Paneer Corn Pizza,Pizza,,1,139,0,0,0,,139,589,0,,0,,0,0,,,,,,589,0,0,0,paid,fulfilled,,,,,,,,,,,,
SA6514,SA-Q2I-2007-6513,"Nov 13, 2021 14:12",,,,,Extra Cheese Pizza/Pasta,Pizza,,1,40,0,0,0,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6514,SA-Q2I-2007-6513,"Nov 13, 2021 14:12",,,,,Veg Maggi,Maggi Maggi Maggi,,1,65,0,0,0,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6514,SA-Q2I-2007-6513,"Nov 13, 2021 14:12",,,,,Veg Cheese Maggi,Maggi Maggi Maggi,,1,90,0,0,0,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6514,SA-Q2I-2007-6513,"Nov 13, 2021 14:12",,,,,Cold Drink - Thumbs Up,Unchai,,2,70,0,0,0,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6514,SA-Q2I-2007-6513,"Nov 13, 2021 14:12",,,,,Cheese Corn Samosa Platter,Samosas & More,,1,95,0,0,0,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6514,SA-Q2I-2007-6513,"Nov 13, 2021 14:12",,,,,French Fries,Fries & Nachos,,1,90,0,0,0,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6510,SA-Q2I-2007-6514,"Nov 13, 2021 14:23",Main Register,Table 1,,3,Veg Tandoori Momos,Momos,,1,90,0,0,0,,90,279,0,,0,,0,0,,,,,,279,0,0,0,paid,fulfilled,,,,,,,,Shruti,,,,
SA6510,SA-Q2I-2007-6514,"Nov 13, 2021 14:23",,,,,French Fries,Fries & Nachos,,1,90,0,0,0,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6510,SA-Q2I-2007-6514,"Nov 13, 2021 14:23",,,,,Classic Margherita Pizza,Pizza,,1,99,0,0,0,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6511,SA-Q2I-2007-6515,"Nov 13, 2021 14:37",Main Register,Table 2,,1,Elaichi Chai,Chai,,3,90,0,0,0,,90,90,0,,0,,0,0,,,,,,90,0,0,0,paid,fulfilled,,,,,,,,,,,,
SA6512,SA-Q2I-2007-6516,"Nov 13, 2021 14:38",Main Register,Table 3,,2,Onion + Capsicum Pizza,Pizza,,1,119,0,0,0,,119,214,0,,0,,0,0,,,,,,214,0,0,0,paid,fulfilled,,,,,,,,harshit,,,,
SA6512,SA-Q2I-2007-6516,"Nov 13, 2021 14:38",,,,,Tandoori Veggie Wrap,Wraps,,1,95,0,0,0,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6516,SA-Q2I-2007-6517,"Nov 13, 2021 14:51",Main Register,Table 5,,5,Fresh Veggie Pizza,Pizza,,1,159,0,0,0,,159,509,0,,0,,0,0,,,,,,509,0,0,0,paid,fulfilled,,,,,,,,anurag,,,,
SA6516,SA-Q2I-2007-6517,"Nov 13, 2021 14:51",,,,,Adrak Chai,Chai,,6,150,0,0,0,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6516,SA-Q2I-2007-6517,"Nov 13, 2021 14:51",,,,,Aloo Samosa (2Pcs),Samosas & More,,1,25,0,0,0,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6516,SA-Q2I-2007-6517,"Nov 13, 2021 14:51",,,,,Classic Veg Burger,Burgers,,2,160,0,0,0,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6516,SA-Q2I-2007-6517,"Nov 13, 2021 14:51",,,,,Water (500 ml),Unchai,,1,15,0,0,0,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6513,SA-Q2I-2007-6518,"Nov 13, 2021 14:55",Main Register,Table 6,,2,Paneer Corn Pizza,Pizza,,1,139,0,0,0,,139,209,0,,0,,0,0,,,,,,209,0,0,0,paid,fulfilled,,,,,,,,shobhit,,,,
SA6513,SA-Q2I-2007-6518,"Nov 13, 2021 14:55",,,,,Cold Drink - Thumbs Up,Unchai,,2,70,0,0,0,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6515,SA-Q2I-2007-6519,"Nov 13, 2021 15:12",Main Register,Table 1,,1,Cold Drink - Thumbs Up,Unchai,,2,70,0,0,0,,70,70,0,,0,,0,0,,,,,,70,0,0,0,paid,fulfilled,,,,,,,,,,,,
SA6517,SA-Q2I-2007-6520,"Nov 13, 2021 15:13",Main Register,Table 2,,4,Veg Cheese Sandwich,Grilled Sandwiches,,1,120,0,0,0,,120,619,0,,0,,0,0,,,5,,,624,0,0,0,paid,fulfilled,,,,,,,,Aryan,,,,
SA6517,SA-Q2I-2007-6520,"Nov 13, 2021 15:13",,,,,Tandoori Paneer Pizza,Pizza,,1,199,0,0,0,,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6517,SA-Q2I-2007-6520,"Nov 13, 2021 15:13",,,,,Blue Lagoon,Iced Tea / Mocktails / Coolers,,2,190,0,0,0,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6517,SA-Q2I-2007-6520,"Nov 13, 2021 15:13",,,,,Peri Peri Fries,Fries & Nachos,,1,110,0,0,0,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6519,SA-Q2I-2007-6521,"Nov 13, 2021 16:03",Main Register,Table 4,,4,Elaichi Chai,Chai,,2,60,0,0,0,,60,385,0,,34.79,,34.79,-0.21,,,,,,350,0,0,0,paid,fulfilled,,,,,,,,Aparna,,,Bingage,Wallet
SA6519,SA-Q2I-2007-6521,"Nov 13, 2021 16:03",,,,,Jalapeno Veggie Wrap,Wraps,,1,95,0,0,0,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6519,SA-Q2I-2007-6521,"Nov 13, 2021 16:03",,,,,Paneer Tandoori Momos,Momos,,1,120,0,0,0,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6519,SA-Q2I-2007-6521,"Nov 13, 2021 16:03",,,,,Peri Peri Fries,Fries & Nachos,,1,110,0,0,0,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6518,SA-Q2I-2007-6522,"Nov 13, 2021 16:18",Main Register,Table 2,,2,Strawberry Shake,Shakes,,1,110,0,0,0,,110,190,0,,0,,0,0,,,,,,190,0,0,0,paid,fulfilled,,,,,,,,Aniket,,,,
SA6518,SA-Q2I-2007-6522,"Nov 13, 2021 16:18",,,,,Veg Fried Momos,Momos,,1,80,0,0,0,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6521,SA-Q2I-2007-6523,"Nov 13, 2021 16:21",Main Register,Table 5,,5,Adrak Chai,Chai,,1,25,0,0,0,,25,569,0,,27,,27,0,,,,,,542,0,0,0,paid,fulfilled,,,,,,,,vansh,,,Bingage,Wallet
SA6521,SA-Q2I-2007-6523,"Nov 13, 2021 16:21",,,,,White Sauce / Alfredo Penne Pasta,Pasta,,1,150,0,0,0,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6521,SA-Q2I-2007-6523,"Nov 13, 2021 16:21",,,,,Paneer Delight Pizza,Pizza,,1,179,0,0,0,,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6521,SA-Q2I-2007-6523,"Nov 13, 2021 16:21",,,,,Veg Cheese Sandwich,Grilled Sandwiches,,1,120,0,0,0,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6521,SA-Q2I-2007-6523,"Nov 13, 2021 16:21",,,,,Chipotle Veggie Wrap,Wraps,,1,95,0,0,0,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6520,SA-Q2I-2007-6524,"Nov 13, 2021 16:25",Main Register,Table 3,,4,Adrak Chai,Chai,,3,75,0,0,0,,75,345,0,,26.33,,26.33,0.33,,,,,,319,0,0,0,paid,fulfilled,,,,,,,,agrima,,,Bingage,Wallet
SA6520,SA-Q2I-2007-6524,"Nov 13, 2021 16:25",,,,,Tandoori Veggie Wrap,Wraps,,1,95,0,0,0,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6520,SA-Q2I-2007-6524,"Nov 13, 2021 16:25",,,,,French Fries,Fries & Nachos,,1,90,0,0,0,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6520,SA-Q2I-2007-6524,"Nov 13, 2021 16:25",,,,,Chilli Garlic Pops (12 Pcs),Samosas & More,,1,85,0,0,0,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6523,SA-Q2I-2007-6525,"Nov 13, 2021 17:08",Main Register,Table 4,,2,Pasta + 2 Cold Coffee/2 Shakes / Cold Coffee - Regular / White Sauce Pasta / Butterscotch Shake,Everyday Combos,,1,299,0,0,0,,299,334,0,,0,,0,0,,,,,,334,0,0,0,paid,fulfilled,,,,,,,,rishita,,,,
SA6523,SA-Q2I-2007-6525,"Nov 13, 2021 17:08",,,,,Cold Drink - Sprite,Unchai,,1,35,0,0,0,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6524,SA-Q2I-2007-6526,"Nov 13, 2021 17:19",Main Register,Table 2,,3,Veg Maggi,Maggi Maggi Maggi,,1,65,0,0,0,,65,315,0,,0,,0,0,,,,,,315,0,0,0,paid,fulfilled,,,,,,,,awnish,,,,
SA6524,SA-Q2I-2007-6526,"Nov 13, 2021 17:19",,,,,Kit Kat Shake,Shakes,,1,130,0,0,0,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6524,SA-Q2I-2007-6526,"Nov 13, 2021 17:19",,,,,Veg Cheese Sandwich,Grilled Sandwiches,,1,120,0,0,0,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6522,SA-Q2I-2007-6527,"Nov 13, 2021 17:32",Main Register,Take-Away-1,,1,Classic Veg Burger,Burgers,,1,80,0,0,0,,80,80,0,,0,,0,0,,,,,,80,0,0,0,paid,fulfilled,,,,,,,,,,,,
SA6526,SA-Q2I-2007-6528,"Nov 13, 2021 17:55",Main Register,Table 2,,2,Veg Cheese Maggi,Maggi Maggi Maggi,,1,90,0,0,0,,90,140,0,,20,,20,0,,,,,,120,0,0,0,paid,fulfilled,,,,,,,,,,,,
SA6526,SA-Q2I-2007-6528,"Nov 13, 2021 17:55",,,,,Adrak Chai,Chai,,2,50,0,0,0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6525,SA-Q2I-2007-6529,"Nov 13, 2021 17:56",Main Register,Table 5,,2,Veg Maggi,Maggi Maggi Maggi,,1,65,0,0,0,,65,125,0,,0,,0,0,,,,,,125,0,0,0,paid,fulfilled,,,,,,,,Shubham,,,,
SA6525,SA-Q2I-2007-6529,"Nov 13, 2021 17:56",,,,,Elaichi Chai,Chai,,2,60,0,0,0,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6527,SA-Q2I-2007-6530,"Nov 13, 2021 18:48",Main Register,Table 3,,2,Bun Maska,Maska Bun,,1,40,0,0,0,,40,90,0,,0,,0,0,,,,,,90,0,0,0,paid,fulfilled,,,,,,,,divyash,,,,
SA6527,SA-Q2I-2007-6530,"Nov 13, 2021 18:48",,,,,Classic Hot Coffee,Coffee,,1,50,0,0,0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6528,SA-Q2I-2007-6531,"Nov 13, 2021 18:49",Main Register,Table 4,,5,Peri Peri Fries,Fries & Nachos,,1,110,0,0,0,,110,490,0,,0,,0,0,,,,,,490,0,0,0,paid,fulfilled,,,,,,,,Govind,,,,
SA6528,SA-Q2I-2007-6531,"Nov 13, 2021 18:49",,,,,Red Sauce / Arrabiata Penne Pasta,Pasta,,1,150,0,0,0,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6528,SA-Q2I-2007-6531,"Nov 13, 2021 18:49",,,,,Paneer Fried Momos,Momos,,1,110,0,0,0,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6528,SA-Q2I-2007-6531,"Nov 13, 2021 18:49",,,,,Adrak Elaichi Chai,Chai,,2,80,0,0,0,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6528,SA-Q2I-2007-6531,"Nov 13, 2021 18:49",,,,,Bun Maska,Maska Bun,,1,40,0,0,0,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6529,SA-Q2I-2007-6532,"Nov 13, 2021 18:58",Main Register,Table 2,,3,Paneer Tandoori Momos,Momos,,2,240,0,0,0,,240,500,0,,0,,0,0,,,,,,500,0,0,0,paid,fulfilled,,,,,,,,Harsh,,,,
SA6529,SA-Q2I-2007-6532,"Nov 13, 2021 18:58",,,,,Garlic Cheese Grilled Sandwich,Grilled Sandwiches,,1,130,0,0,0,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6529,SA-Q2I-2007-6532,"Nov 13, 2021 18:58",,,,,Kit Kat Shake,Shakes,,1,130,0,0,0,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6530,SA-Q2I-2007-6533,"Nov 13, 2021 19:18",Main Register,Table 6,,2,Vada Pav,Vada Pav,,3,195,0,0,0,,195,353,0,,0,,0,0,,,5,,,358,0,0,0,paid,fulfilled,,,,,,,,Anshu,,,,
SA6530,SA-Q2I-2007-6533,"Nov 13, 2021 19:18",,,,,Vada Pav + Chai / Adrak Chai / Vada Pav,Everyday Combos,,2,158,0,0,0,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6531,SA-Q2I-2007-6534,"Nov 13, 2021 19:34",Main Register,Table 5,,2,Adrak Chai,Chai,,2,50,0,0,0,,50,150,0,,0,,0,0,,,,,,150,0,0,0,paid,fulfilled,,,,,,,,aman,,,,
SA6531,SA-Q2I-2007-6534,"Nov 13, 2021 19:34",,,,,Fresh Veggie Sandwich,Grilled Sandwiches,,1,100,0,0,0,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6532,SA-Q2I-2007-6535,"Nov 13, 2021 19:46",Main Register,Table 3,,4,Veg Tandoori Momos,Momos,,1,90,0,0,0,,90,380,0,,0,,0,0,,,,,,380,0,0,0,paid,fulfilled,,,,,,,,Kushagra,,,,
